"Specification","Status","Session ID","Mode","End Time"
"GSL_10381_PLBLMTS1_DAILY","Completed/Errors","2022/05/30-182","incr1","5/30/2022 12:37:58 PM"
"GSL_253_PTSEI-AP01_DAILY","Failed","2022/05/30-191","incr1","5/30/2022 1:02:34 PM"
"GSL_253_PTSEI-AP02_DAILY","Failed","2022/05/30-214","incr1","5/30/2022 2:02:39 PM"
"GSL_10304_ROIAS-DB02_DAILY","Failed","2022/05/30-282","incr1","5/30/2022 8:30:59 PM"
"SCC_UNX_TSLPRECDB1_DAILY","Completed/Failures","2022/05/30-312","incr1","5/30/2022 6:36:39 PM"
"Oracle8 GSL10304_ROIADB01_IASIMES_RMAN_ONL_ST","Failed","2022/05/30-333","incr1","5/30/2022 10:01:13 PM"
"SCC_UNX_TSLPRIBAP2_DAILY","Completed/Failures","2022/05/30-343","incr1","5/30/2022 7:31:20 PM"
"GSL_130_MXCOAHSLT-DB07_DAILY","Completed/Errors","2022/05/30-344","incr1","5/30/2022 7:36:27 PM"
"SCC_UNX_TSLPRNFS1_DAILY","Completed/Errors","2022/05/30-348","incr1","5/30/2022 8:36:05 PM"
"GSL_10092_MXCHJRZP-AP02_DAILY","Completed/Failures","2022/05/30-350","incr1","5/30/2022 8:29:23 PM"
"GSL_10699_USKOPDA01_DAILY","Completed/Failures","2022/05/30-356","incr1","5/30/2022 8:15:29 PM"
"SCC_UNX_TSLPRRACN1A_DAILY","Completed/Errors","2022/05/30-358","incr1","5/30/2022 11:30:26 PM"
"SCC_UNX_TSLPRRACN1B_DAILY","Completed/Errors","2022/05/30-360","incr1","5/30/2022 11:42:00 PM"
"SCC_UNX_TSLPRSFAP3_DAILY","Completed/Failures","2022/05/30-374","incr1","5/30/2022 8:36:30 PM"
"SCC_UNX_TSLPRSFAP2_DAILY","Completed/Failures","2022/05/30-376","incr1","5/30/2022 8:36:26 PM"
"SCC_UNX_TSLPRRACN1C_DAILY","Completed/Errors","2022/05/30-378","incr1","5/30/2022 11:06:00 PM"
"SCC_UNX_TSUPRR3AP1_DAILY","Completed/Failures","2022/05/30-392","incr1","5/30/2022 9:32:13 PM"
"GSL_269_TRIZMP-AP12_DAILY","Aborted","2022/05/30-434","incr1","5/31/2022 12:03:11 AM"
"GSL_269_TRIZMP-AP12_DAILY","Aborted","2022/05/30-435","incr1","5/31/2022 2:28:23 AM"
